time,x,y,H
0.408,0.0549347,1117.78,11.2196
0.409,0.0538165,1116.67,11.2199
0.41,0.0527222,1115.55,11.2201
0.411,0.0516514,1114.44,11.2203
0.412,0.0506035,1113.32,11.2205
0.413,0.0495779,1112.21,11.2207
0.414,0.0485742,1111.1,11.2209
0.415,0.047592,1109.99,11.2211
0.416,0.0466306,1108.88,11.2213
0.417,0.0456897,1107.77,11.2215
0.418,0.0447688,1106.66,11.2217
0.419,0.0438675,1105.56,11.2219
0.42,0.0429853,1104.45,11.2221
0.421,0.0421217,1103.35,11.2223
0.422,0.0412765,1102.24,11.2226
0.423,0.0404491,1101.14,11.2228
0.424,0.0396392,1100.04,11.223
0.425,0.0388464,1098.94,11.2232
0.426,0.0380703,1097.84,11.2234
0.427,0.0373105,1096.75,11.2236
0.428,0.0365667,1095.65,11.2238
0.429,0.0358386,1094.55,11.224
0.43,0.0351257,1093.46,11.2242
0.431,0.0344278,1092.37,11.2244
0.432,0.0337445,1091.28,11.2246
0.433,0.0330755,1090.18,11.2248
0.434,0.0324205,1089.09,11.225
0.435,0.0317791,1088.01,11.2252
0.436,0.0311512,1086.92,11.2254
0.437,0.0305363,1085.83,11.2256
0.438,0.0299342,1084.75,11.2258
0.439,0.0293447,1083.66,11.226
0.44,0.0287674,1082.58,11.2262
0.441,0.028202,1081.5,11.2264
0.442,0.0276484,1080.41,11.2266
0.443,0.0271063,1079.33,11.2268
0.444,0.0265754,1078.26,11.227
0.445,0.0260554,1077.18,11.2271
0.446,0.0255462,1076.1,11.2273
0.447,0.0250475,1075.03,11.2275
0.448,0.0245591,1073.95,11.2277
0.449,0.0240807,1072.88,11.2279
0.45,0.0236121,1071.8,11.2281
0.451,0.0231532,1070.73,11.2283
0.452,0.0227037,1069.66,11.2285
0.453,0.0222634,1068.59,11.2287
0.454,0.0218321,1067.52,11.2289
0.455,0.0214096,1066.46,11.2291
0.456,0.0209958,1065.39,11.2293
0.457,0.0205904,1064.33,11.2295
0.458,0.0201933,1063.26,11.2296
0.459,0.0198043,1062.2,11.2298
0.46,0.0194232,1061.14,11.23
0.461,0.0190498,1060.08,11.2302
0.462,0.018684,1059.02,11.2304
0.463,0.0183257,1057.96,11.2306
0.464,0.0179745,1056.9,11.2308
0.465,0.0176306,1055.84,11.231
0.466,0.0172935,1054.79,11.2311
0.467,0.0169633,1053.73,11.2313
0.468,0.0166397,1052.68,11.2315
0.469,0.0163227,1051.63,11.2317
0.47,0.016012,1050.57,11.2319
0.471,0.0157076,1049.52,11.2321
0.472,0.0154093,1048.47,11.2322
0.473,0.015117,1047.43,11.2324
0.474,0.0148305,1046.38,11.2326
0.475,0.0145498,1045.33,11.2328
0.476,0.0142748,1044.29,11.233
0.477,0.0140052,1043.24,11.2332
0.478,0.013741,1042.2,11.2333
0.479,0.013482,1041.16,11.2335
0.48,0.0132282,1040.12,11.2337
0.481,0.0129795,1039.08,11.2339
0.482,0.0127357,1038.04,11.2341
0.483,0.0124968,1037,11.2342
0.484,0.0122626,1035.96,11.2344
0.485,0.0120331,1034.93,11.2346
0.486,0.0118081,1033.89,11.2348
0.487,0.0115875,1032.86,11.235
0.488,0.0113713,1031.83,11.2351
0.489,0.0111594,1030.79,11.2353
0.49,0.0109517,1029.76,11.2355
0.491,0.010748,1028.73,11.2357
0.492,0.0105484,1027.71,11.2358
0.493,0.0103527,1026.68,11.236
0.494,0.0101608,1025.65,11.2362
0.495,0.00997269,1024.63,11.2364
0.496,0.00978827,1023.6,11.2365
0.497,0.00960746,1022.58,11.2367
0.498,0.00943018,1021.56,11.2369
0.499,0.00925638,1020.53,11.2371
0.5,0.00908596,1019.51,11.2372
0.501,0.00891887,1018.49,11.2374
0.502,0.00875503,1017.48,11.2376
0.503,0.00859438,1016.46,11.2377
0.504,0.00843685,1015.44,11.2379
0.505,0.00828238,1014.43,11.2381
0.506,0.00813091,1013.41,11.2383
0.507,0.00798237,1012.4,11.2384
0.508,0.00783671,1011.39,11.2386
0.509,0.00769386,1010.38,11.2388
0.51,0.00755378,1009.37,11.2389
0.511,0.00741639,1008.36,11.2391
0.512,0.00728166,1007.35,11.2393
0.513,0.00714952,1006.34,11.2394
0.514,0.00701992,1005.33,11.2396
0.515,0.00689281,1004.33,11.2398
0.516,0.00676815,1003.32,11.2399
0.517,0.00664587,1002.32,11.2401
0.518,0.00652594,1001.32,11.2403
0.519,0.0064083,1000.32,11.2404
0.52,0.00629291,999.318,11.2406
0.521,0.00617972,998.318,11.2408
0.522,0.00606869,997.32,11.2409
0.523,0.00595978,996.323,11.2411
0.524,0.00585294,995.327,11.2413
0.525,0.00574814,994.331,11.2414
0.526,0.00564532,993.337,11.2416
0.527,0.00554446,992.344,11.2417
0.528,0.00544551,991.351,11.2419
0.529,0.00534843,990.36,11.2421
0.53,0.00525319,989.37,11.2422
0.531,0.00515975,988.381,11.2424
0.532,0.00506807,987.392,11.2426
0.533,0.00497813,986.405,11.2427
0.534,0.00488987,985.419,11.2429
0.535,0.00480328,984.433,11.243
0.536,0.00471832,983.449,11.2432
0.537,0.00463495,982.465,11.2434
0.538,0.00455315,981.483,11.2435
0.539,0.00447288,980.502,11.2437
0.54,0.00439411,979.521,11.2438
0.541,0.00431681,978.542,11.244
0.542,0.00424096,977.563,11.2441
0.543,0.00416653,976.586,11.2443
0.544,0.00409348,975.609,11.2445
0.545,0.0040218,974.633,11.2446
0.546,0.00395145,973.659,11.2448
0.547,0.0038824,972.685,11.2449
0.548,0.00381464,971.713,11.2451
0.549,0.00374813,970.741,11.2452
0.55,0.00368286,969.77,11.2454
0.551,0.0036188,968.8,11.2455
0.552,0.00355592,967.832,11.2457
0.553,0.0034942,966.864,11.2458
0.554,0.00343362,965.897,11.246
0.555,0.00337415,964.931,11.2462
0.556,0.00331579,963.966,11.2463
0.557,0.00325849,963.002,11.2465
0.558,0.00320225,962.039,11.2466
0.559,0.00314704,961.077,11.2468
0.56,0.00309284,960.116,11.2469
0.561,0.00303964,959.156,11.2471
0.562,0.00298741,958.197,11.2472
0.563,0.00293613,957.239,11.2474
0.564,0.00288579,956.282,11.2475
0.565,0.00283637,955.325,11.2477
0.566,0.00278785,954.37,11.2478
0.567,0.00274021,953.416,11.248
0.568,0.00269344,952.462,11.2481
0.569,0.00264752,951.51,11.2483
0.57,0.00260244,950.559,11.2484
0.571,0.00255816,949.608,11.2486
0.572,0.0025147,948.658,11.2487
0.573,0.00247201,947.71,11.2488
0.574,0.0024301,946.762,11.249
0.575,0.00238895,945.815,11.2491
0.576,0.00234854,944.87,11.2493
0.577,0.00230885,943.925,11.2494
0.578,0.00226988,942.981,11.2496
0.579,0.00223161,942.038,11.2497
0.58,0.00219403,941.096,11.2499
0.581,0.00215712,940.155,11.25
0.582,0.00212088,939.215,11.2502
0.583,0.00208528,938.275,11.2503
0.584,0.00205032,937.337,11.2504
0.585,0.00201598,936.4,11.2506
0.586,0.00198226,935.463,11.2507
0.587,0.00194914,934.528,11.2509
0.588,0.0019166,933.594,11.251
0.589,0.00188465,932.66,11.2511
0.59,0.00185327,931.727,11.2513
0.591,0.00182244,930.796,11.2514
0.592,0.00179216,929.865,11.2516
0.593,0.00176241,928.935,11.2517
0.594,0.00173319,928.006,11.2519
0.595,0.00170449,927.078,11.252
0.596,0.0016763,926.151,11.2521
0.597,0.0016486,925.225,11.2523
0.598,0.00162139,924.3,11.2524
